,Date,Open,High,Low,Close,Adj Close,Volume,mid_o,mid_h,mid_c,mid_l,bin_o,bin_h,bin_l,bin_c,ask_o,ask_h,ask_l,ask_c
0,2020-04-01,247.97999572753903,257.6600036621094,243.8999938964844,246.1499938964844,231.0326995849609,189554600,371.05499267578125,379.61000061035156,366.9749908447266,370.1399917602539,low,low,low,low,248.22797572326655,257.91766366577144,244.14389389038087,246.39614389038087
1,2020-04-02,245.19000244140625,252.67999267578125,244.58999633789065,251.8300018310547,236.3638916015625,177660400,371.1050033569336,374.97499084472656,370.50499725341797,374.4250030517578,low,low,low,low,245.43519244384763,252.932672668457,244.8345863342285,252.0818318328857
2,2020-04-03,250.75999450683597,253.32000732421875,245.22000122070312,248.19000244140625,232.94741821289065,135561200,374.85499572753906,375.9300079345703,369.31500244140625,373.5699996948242,low,low,low,low,251.01075450134277,253.57332733154294,245.4652212219238,248.43819244384764
3,2020-04-06,257.8399963378906,267.0,248.1699981689453,264.8599853515625,248.5936279296875,188061200,390.2699890136719,391.08499908447266,380.59999084472656,393.7799835205078,low,low,low,low,258.0978363342285,267.267,248.41816816711423,265.124845336914
4,2020-04-07,274.2099914550781,275.0299987792969,264.8900146484375,265.1300048828125,248.8471221923828,201427200,406.7749938964844,407.4750061035156,397.45501708984375,402.23500061035156,low,low,low,low,274.4842014465332,275.3050287780761,265.1549046630859,265.3951348876953
5,2020-04-08,267.9599914550781,276.0,265.25,274.0299987792969,257.20050048828125,153774500,404.97499084472656,408.625,402.26499938964844,408.00999450683594,low,low,low,low,268.22795144653315,276.27599999999995,265.51525,274.30402877807614
6,2020-04-09,277.5799865722656,281.20001220703125,275.4700012207031,278.20001220703125,261.1143798828125,189999200,416.67999267578125,418.9350128173828,414.57000732421875,416.99000549316406,low,low,low,low,277.85756655883785,281.4812122192383,275.7454712219238,278.47821221923823
7,2020-04-13,277.1400146484375,277.510009765625,271.4100036621094,275.6600036621094,258.7303466796875,114839100,414.9700164794922,413.2150115966797,409.24000549316406,414.2300109863281,low,low,low,low,277.4171546630859,277.7875197753906,271.68141366577146,275.9356636657715
8,2020-04-14,280.9800109863281,284.8999938964844,275.510009765625,283.7900085449219,266.3610534667969,134143400,422.87501525878906,422.6549987792969,417.40501403808594,424.28001403808594,low,low,low,low,281.2609909973144,285.1848938903808,275.7855197753906,284.07379855346676
9,2020-04-15,277.57000732421875,283.94000244140625,275.4599914550781,277.760009765625,260.7013244628906,121775000,416.45001220703125,421.6699981689453,414.3399963378906,416.5450134277344,low,low,low,low,277.84757733154294,284.22394244384765,275.73545144653315,278.0377697753906
10,2020-04-16,279.1499938964844,280.0299987792969,275.760009765625,279.1000061035156,261.9590759277344,131798300,418.6999969482422,417.9100036621094,415.3100128173828,418.6750030517578,low,low,low,low,279.42914389038083,280.3100287780761,276.0357697753906,279.3791061096191
11,2020-04-17,285.3800048828125,287.29998779296875,282.3999938964844,286.6400146484375,269.0360107421875,146684800,428.70001220703125,428.49998474121094,425.7200012207031,429.33001708984375,low,low,low,low,285.66538488769527,287.5872877807617,282.6823938903808,286.9266546630859
12,2020-04-20,282.6099853515625,286.7900085449219,281.3500061035156,281.5899963378906,264.29620361328125,100109300,423.4049835205078,427.4650115966797,422.14500427246094,422.8949890136719,low,low,low,low,282.89259533691404,287.07679855346674,281.6313561096191,281.8715863342285
13,2020-04-21,276.7300109863281,278.0400085449219,272.0199890136719,273.0400085449219,256.2712707519531,126385700,413.25001525878906,414.0500030517578,408.5399932861328,411.40501403808594,low,low,low,low,277.0067409973144,278.3180485534668,272.2920090026855,273.3130485534668
14,2020-04-22,278.3500061035156,281.0,276.9100036621094,279.1000061035156,261.9590759277344,92951600,417.90000915527344,419.4550018310547,416.4600067138672,418.27500915527344,low,low,low,low,278.6283561096191,281.28099999999995,277.18691366577144,279.3791061096191
15,2020-04-23,280.489990234375,283.94000244140625,278.75,279.0799865722656,261.9403381347656,104709700,420.0299835205078,423.31500244140625,418.2899932861328,419.3249816894531,low,low,low,low,280.77048022460934,284.22394244384765,279.02874999999995,279.35906655883787
16,2020-04-24,280.7300109863281,283.70001220703125,278.5,282.9700012207031,265.5914001464844,85063200,422.2150115966797,422.95001220703125,419.98500061035156,423.3350067138672,low,low,low,low,281.01074099731443,283.98371221923827,278.77849999999995,283.2529712219238
17,2020-04-27,285.1199951171875,288.2699890136719,284.6199951171875,287.04998779296875,269.4207458496094,77896600,428.6449890136719,430.5799865722656,428.1449890136719,429.6099853515625,low,low,low,low,285.40511511230466,288.55825900268553,284.90461511230467,287.3370377807617
18,2020-04-28,291.0199890136719,291.3999938964844,285.3999938964844,285.7300109863281,268.1819152832031,105270000,433.88499450683594,434.09999084472656,428.26499938964844,431.24000549316406,low,low,low,low,291.3110090026855,291.6913938903808,285.68539389038085,286.0157409973144
19,2020-04-29,291.5299987792969,294.8800048828125,290.4100036621094,293.2099914550781,275.2025451660156,118745600,438.13499450683594,440.0850067138672,437.01499938964844,438.97499084472656,low,low,low,low,291.82152877807613,295.17488488769527,290.70041366577146,293.5032014465332
